frame,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility
1,0.47405460476875305,-0.01522129774093628,-0.33576473593711853,0.9996588230133057,0.48167991638183594,-0.037290871143341064,-0.31476035714149475,0.9987755417823792,0.4860631823539734,-0.03586763143539429,-0.3148939311504364,0.9986860156059265,0.49069690704345703,-0.0343855619430542,-0.3149566948413849,0.9987965822219849,0.46896597743034363,-0.03657126426696777,-0.31303831934928894,0.9984568357467651,0.46460485458374023,-0.03488945960998535,-0.3130800127983093,0.9981229901313782,0.4603106677532196,-0.033505797386169434,-0.31326574087142944,0.9982956051826477,0.49912235140800476,-0.015571237541735172,-0.1807016283273697,0.9982545971870422,0.45414987206459045,-0.013806849718093872,-0.1718778759241104,0.9967760443687439,0.48239079117774963,0.014316827058792114,-0.28481853008270264,0.9998225569725037,0.4662329852581024,0.01304587721824646,-0.28256654739379883,0.9997319579124451,0.5485531091690063,0.14045539498329163,-0.10115494579076767,0.9998438358306885,0.4107264578342438,0.1361575424671173,-0.0904373750090599,0.9996670484542847,0.5465630888938904,0.3343937397003174,-0.06243882700800896,0.9698209762573242,0.403136670589447,0.3281635344028473,-0.03747723996639252,0.95567387342453,0.5440996289253235,0.5028669834136963,-0.19618956744670868,0.9315536618232727,0.4091065227985382,0.4994407892227173,-0.151100292801857,0.8939645886421204,0.5434191823005676,0.5530345439910889,-0.24066682159900665,0.8925079107284546,0.4038920998573303,0.5525079965591431,-0.18788400292396545,0.8382532596588135,0.533599317073822,0.554266095161438,-0.27657249569892883,0.8998822569847107,0.4120407700538635,0.5501619577407837,-0.23771922290325165,0.8508884310722351,0.5298686623573303,0.537211000919342,-0.2125973403453827,0.887118935585022,0.4154949188232422,0.53035569190979,-0.17310930788516998,0.8445363640785217,0.5117242932319641,0.48918548226356506,-0.007059928495436907,0.9989031553268433,0.4404599070549011,0.4926837384700775,0.007101834751665592,0.9984502792358398,0.5092151761054993,0.7701807022094727,-0.060646794736385345,0.847777783870697,0.4528481066226959,0.7767006158828735,-0.02331182174384594,0.8268377780914307,0.5133568048477173,0.9919365644454956,0.18819256126880646,0.7790501713752747,0.4656915068626404,0.9902613759040833,0.21385790407657623,0.7338849902153015,0.5079906582832336,1.0192747116088867,0.20182745158672333,0.44147324562072754,0.4716699719429016,1.0176559686660767,0.22817447781562805,0.42588382959365845,0.5090013742446899,1.0723490715026855,0.029485346749424934,0.7383716106414795,0.4645191431045532,1.0758756399154663,0.047875937074422836,0.7373794317245483
2,0.4739874303340912,8.625342888990417e-05,-0.3933698236942291,0.9995783567428589,0.48045259714126587,-0.02694067545235157,-0.37765440344810486,0.9985183477401733,0.484231561422348,-0.02710242196917534,-0.37782052159309387,0.998482346534729,0.48799875378608704,-0.026777025312185287,-0.37794557213783264,0.9985988140106201,0.4688880741596222,-0.026373587548732758,-0.3743605315685272,0.9981458783149719,0.4646100103855133,-0.02619369886815548,-0.37440431118011475,0.9977879524230957,0.4604015052318573,-0.025840209797024727,-0.37455490231513977,0.997880220413208,0.4936895966529846,-0.015076493844389915,-0.24176828563213348,0.9980465173721313,0.4561239778995514,-0.013578834012150764,-0.2258872240781784,0.9962047338485718,0.4816229045391083,0.020702600479125977,-0.3383370339870453,0.9997707009315491,0.4667774736881256,0.020494312047958374,-0.3340892791748047,0.9996386170387268,0.5474047064781189,0.1388556957244873,-0.15449096262454987,0.9998488426208496,0.412172794342041,0.13789883255958557,-0.104959636926651,0.9996477961540222,0.5459477305412292,0.3313702642917633,-0.10503128170967102,0.9702178835868835,0.4037742614746094,0.3306097984313965,-0.04044761136174202,0.9460281729698181,0.5436983704566956,0.5039724707603455,-0.22735020518302917,0.9309976696968079,0.4102369546890259,0.49980270862579346,-0.15691572427749634,0.8804687261581421,0.5436918139457703,0.5554916858673096,-0.27226489782333374,0.8911789655685425,0.40516820549964905,0.5525671243667603,-0.19053615629673004,0.8248721361160278,0.5337124466896057,0.5563355684280396,-0.3084316849708557,0.8987653851509094,0.4132113754749298,0.5501199960708618,-0.2435908168554306,0.8380816578865051,0.5289890170097351,0.5391951203346252,-0.243013396859169,0.886071503162384,0.4194113314151764,0.5305758118629456,-0.1801336109638214,0.8312894701957703,0.509777843952179,0.4930296838283539,-0.017306387424468994,0.9987310767173767,0.4478200376033783,0.4969587028026581,0.01742374897003174,0.9981153607368469,0.4999995231628418,0.7807811498641968,-0.04246920347213745,0.833226203918457,0.45838794112205505,0.7815676331520081,0.008373836986720562,0.8059403896331787,0.5045623183250427,0.9919369220733643,0.15444527566432953,0.7644123435020447,0.47240692377090454,0.988800585269928,0.21081282198429108,0.7109373211860657,0.5032273530960083,1.055031418800354,0.16225101053714752,0.43802133202552795,0.47165647149086,1.0394117832183838,0.22254422307014465,0.4142666459083557,0.5070378184318542,1.0977815389633179,-0.006967444438487291,0.7218996286392212,0.46429264545440674,1.095249891281128,0.04798734188079834,0.7135514616966248
3,0.47371575236320496,0.005962382536381483,-0.3921439051628113,0.9995810389518738,0.4799116551876068,-0.021669212728738785,-0.3761519193649292,0.9985270500183105,0.4839254915714264,-0.022044049575924873,-0.376298725605011,0.9985138177871704,0.487888365983963,-0.02193431183695793,-0.3764028549194336,0.998621940612793,0.46798816323280334,-0.021683981642127037,-0.3732982873916626,0.9981695413589478,0.46370914578437805,-0.022048305720090866,-0.3733558654785156,0.9978353381156921,0.45944470167160034,-0.02212800271809101,-0.3734944462776184,0.997905969619751,0.4939900040626526,-0.0131056634709239,-0.2418665736913681,0.9980971813201904,0.45549264550209045,-0.013299633748829365,-0.22737598419189453,0.9962970018386841,0.48156675696372986,0.02583112008869648,-0.3380083739757538,0.9997644424438477,0.4667690396308899,0.02509096823632717,-0.334121435880661,0.9996281862258911,0.5470548868179321,0.13879235088825226,-0.15152700245380402,0.9998545050621033,0.4121716618537903,0.1401149481534958,-0.10915427654981613,0.9996536374092102,0.5459064245223999,0.33038878440856934,-0.1005336195230484,0.9711853265762329,0.4040719270706177,0.33560729026794434,-0.040422867983579636,0.9442567825317383,0.5436583757400513,0.5043157935142517,-0.23134829103946686,0.9318992495536804,0.41087186336517334,0.5009693503379822,-0.1565285176038742,0.8793937563896179,0.5436959862709045,0.5563248991966248,-0.27628862857818604,0.8918930292129517,0.40654659271240234,0.5535690188407898,-0.19045700132846832,0.8244929909706116,0.533559262752533,0.5568022727966309,-0.3151085674762726,0.8994426727294922,0.4153112769126892,0.5509216785430908,-0.24318625032901764,0.8376647233963013,0.528946042060852,0.5396742224693298,-0.24824707210063934,0.8870847821235657,0.42069852352142334,0.5318708419799805,-0.17953962087631226,0.8303783535957336,0.509850263595581,0.49801895022392273,-0.017764419317245483,0.9985542297363281,0.4474378228187561,0.5022380948066711,0.017877118661999702,0.9978935122489929,0.5008937120437622,0.7894159555435181,-0.04398534446954727,0.8310256600379944,0.4586126208305359,0.7865695953369141,0.0012990094255656004,0.8029021620750427,0.5042147040367126,0.9932026267051697,0.13828934729099274,0.758284330368042,0.47228485345840454,0.9899580478668213,0.178968608379364,0.699571430683136,0.5023535490036011,1.063197135925293,0.14511071145534515,0.43464237451553345,0.4717794954776764,1.0498566627502441,0.18763425946235657,0.4057326316833496,0.5058755874633789,1.109827995300293,-0.025941496714949608,0.7125756144523621,0.4642874300479889,1.1088120937347412,0.016678841784596443,0.6990164518356323
4,0.4736081063747406,0.012749310582876205,-0.37743207812309265,0.999588131904602,0.4798383116722107,-0.015516692772507668,-0.3606104850769043,0.9985423684120178,0.48395437002182007,-0.01599236950278282,-0.36075347661972046,0.9985471367835999,0.4879327416419983,-0.016002090647816658,-0.3608468174934387,0.9986427426338196,0.4672229588031769,-0.0166298970580101,-0.3583102822303772,0.9982135891914368,0.46274006366729736,-0.017798446118831635,-0.35836783051490784,0.9979113340377808,0.4582532048225403,-0.01861898973584175,-0.35851678252220154,0.9979702234268188,0.494121253490448,-0.009863422252237797,-0.2289411872625351,0.9981356859207153,0.4539390802383423,-0.01269668061286211,-0.21708545088768005,0.9964521527290344,0.4816325604915619,0.03269420564174652,-0.32455816864967346,0.9997578263282776,0.4666440784931183,0.03085431084036827,-0.3213478624820709,0.9996234178543091,0.5466025471687317,0.13878300786018372,-0.13950206339359283,0.9998560547828674,0.4119762182235718,0.14222577214241028,-0.10722009092569351,0.999664843082428,0.5460187792778015,0.3290467858314514,-0.09812368452548981,0.9714953899383545,0.4045538008213043,0.33944299817085266,-0.0396391935646534,0.944284975528717,0.5436948537826538,0.5042609572410583,-0.23063072562217712,0.9314178824424744,0.4110146760940552,0.5027570128440857,-0.15633440017700195,0.8824508190155029,0.544294536113739,0.5562405586242676,-0.26995885372161865,0.8913403153419495,0.407280832529068,0.5548079609870911,-0.19005966186523438,0.8293405771255493,0.5347166657447815,0.5567103624343872,-0.31103360652923584,0.8988600969314575,0.4157205820083618,0.552116334438324,-0.24178102612495422,0.8420769572257996,0.5303393006324768,0.5396639704704285,-0.24466514587402344,0.8869721293449402,0.42060887813568115,0.5336359739303589,-0.17875097692012787,0.8343448638916016,0.510630190372467,0.502974271774292,-0.01763586513698101,0.9983365535736084,0.44699186086654663,0.5069538950920105,0.017740892246365547,0.9976670742034912,0.5013524293899536,0.79591965675354,-0.04604564607143402,0.8340286612510681,0.45837053656578064,0.7914401292800903,-0.0028392651583999395,0.8063213229179382,0.5049288868904114,0.9967436790466309,0.12927190959453583,0.7565452456474304,0.47192588448524475,0.9938153028488159,0.1587340384721756,0.696098268032074,0.5025955438613892,1.0342873334884644,0.13595005869865417,0.4333638846874237,0.4722016751766205,1.0538063049316406,0.16659756004810333,0.4029299020767212,0.5057148933410645,1.1159061193466187,-0.02763632871210575,0.7073496580123901,0.4642384350299835,1.1138203144073486,0.0026705428026616573,0.6913198828697205
5,0.47310689091682434,0.01006595604121685,-0.3836991488933563,0.9995847344398499,0.47945404052734375,-0.016200663521885872,-0.3664195239543915,0.9985281229019165,0.48373931646347046,-0.016322221606969833,-0.3665601909160614,0.9985557794570923,0.4878731966018677,-0.016059275716543198,-0.36664503812789917,0.998642086982727,0.4667026698589325,-0.017294764518737793,-0.3649805188179016,0.9982129335403442,0.4623035490512848,-0.01814994402229786,-0.36504921317100525,0.9979368448257446,0.4579121172428131,-0.018737435340881348,-0.3652009665966034,0.9979755282402039,0.4943575859069824,-0.008496054448187351,-0.23182955384254456,0.9981256723403931,0.4538416564464569,-0.011983532458543777,-0.2241848260164261,0.9964981079101562,0.48145678639411926,0.031331900507211685,-0.33010953664779663,0.999742865562439,0.4664754867553711,0.029610661789774895,-0.32813164591789246,0.9996024966239929,0.5463986992835999,0.138938769698143,-0.13851800560951233,0.9998528361320496,0.4119625985622406,0.1436793953180313,-0.11730024963617325,0.9996620416641235,0.5460485219955444,0.3276980519294739,-0.09139449149370193,0.9716272354125977,0.4050270617008209,0.34148940443992615,-0.04770025238394737,0.9432920217514038,0.5436737537384033,0.5037994980812073,-0.22334463894367218,0.9304278492927551,0.41142183542251587,0.5032923817634583,-0.16046707332134247,0.881608247756958,0.5443318486213684,0.5560038089752197,-0.26494595408439636,0.8894809484481812,0.4089266359806061,0.5549951195716858,-0.19462135434150696,0.828891396522522,0.5347302556037903,0.556268572807312,-0.30480605363845825,0.897183358669281,0.4168197512626648,0.5521965026855469,-0.2451956868171692,0.8415272831916809,0.5303845405578613,0.5395072102546692,-0.23908239603042603,0.8855626583099365,0.4212435185909271,0.5340546369552612,-0.18210402131080627,0.8332591652870178,0.5108068585395813,0.5050994753837585,-0.015900757163763046,0.9980748891830444,0.44672659039497375,0.5095634460449219,0.01598835550248623,0.9973624348640442,0.5017950534820557,0.7988417744636536,-0.043735384941101074,0.8283894658088684,0.45812588930130005,0.7930312156677246,-0.006123682949692011,0.8008813261985779,0.503949761390686,1.0029131174087524,0.13115347921848297,0.7476760149002075,0.4725804924964905,0.999984085559845,0.15235239267349243,0.682137131690979,0.5012721419334412,1.0280975103378296,0.13749997317790985,0.4284606873989105,0.4738364815711975,1.0250855684280396,0.1599830687046051,0.3915441334247589,0.505374014377594,1.124849796295166,-0.03342558816075325,0.6956494450569153,0.46526381373405457,1.1227377653121948,-0.013041808269917965,0.6744927167892456
6,0.47292083501815796,0.008557369001209736,-0.3810807466506958,0.9995936155319214,0.4793129563331604,-0.01634984277188778,-0.36179548501968384,0.9985551834106445,0.4836556017398834,-0.016084806993603706,-0.361930787563324,0.998598039150238,0.4878637194633484,-0.015475651249289513,-0.36201366782188416,0.9986757040023804,0.46660086512565613,-0.017633872106671333,-0.36017730832099915,0.9982526898384094,0.4622648060321808,-0.018274616450071335,-0.36023229360580444,0.9980014562606812,0.4579177796840668,-0.01868443749845028,-0.360420286655426,0.9980254173278809,0.4945278763771057,-0.006293915212154388,-0.22515705227851868,0.9981722235679626,0.45383980870246887,-0.011190314777195454,-0.21630214154720306,0.9966075420379639,0.4813949763774872,0.03060963936150074,-0.32661205530166626,0.9997397661209106,0.4664101302623749,0.028718803077936172,-0.32438740134239197,0.9995973706245422,0.5461675524711609,0.13903895020484924,-0.13481880724430084,0.999855637550354,0.4119472801685333,0.14514876902103424,-0.11536989361047745,0.9996656179428101,0.546051025390625,0.3277823030948639,-0.08762604743242264,0.9720587730407715,0.40577590465545654,0.34417811036109924,-0.042644355446100235,0.9421618580818176,0.5436781048774719,0.5036044120788574,-0.22291775047779083,0.9310367703437805,0.4117870032787323,0.5038571357727051,-0.15830881893634796,0.8824198842048645,0.5444684624671936,0.5556711554527283,-0.266741007566452,0.8901733160018921,0.41004639863967896,0.5555622577667236,-0.19295552372932434,0.830892026424408,0.5348540544509888,0.5559208989143372,-0.30649831891059875,0.8978086709976196,0.417300820350647,0.552608847618103,-0.2431236058473587,0.8432567119598389,0.5305520296096802,0.5394786596298218,-0.23988114297389984,0.8865445256233215,0.42149466276168823,0.5348963141441345,-0.1797555387020111,0.8346284627914429,0.5108020305633545,0.5083099603652954,-0.015592416748404503,0.9979454278945923,0.4465404152870178,0.5124928951263428,0.015674138441681862,0.9971866607666016,0.5017755031585693,0.803993821144104,-0.04502028971910477,0.8272777199745178,0.45794686675071716,0.7977920770645142,-0.0074117169715464115,0.7999333143234253,0.5025607347488403,1.0104414224624634,0.12616780400276184,0.744114100933075,0.4729008078575134,1.0044255256652832,0.15542767941951752,0.6744272708892822,0.5008708238601685,1.0763121843338013,0.13215845823287964,0.4269767999649048,0.47381919622421265,1.0575687885284424,0.16327601671218872,0.3853316903114319,0.5047237873077393,1.1326414346694946,-0.037667445838451385,0.689052939414978,0.4653402864933014,1.1284418106079102,-0.006826582830399275,0.6639409065246582
7,0.47291043400764465,0.00988535676151514,-0.3769175410270691,0.9996104836463928,0.4793204069137573,-0.014488373883068562,-0.35919031500816345,0.9986120462417603,0.4836624562740326,-0.01408079918473959,-0.35932424664497375,0.9986642599105835,0.4878750443458557,-0.0133588295429945,-0.3594059944152832,0.9987325668334961,0.4666089117527008,-0.016023244708776474,-0.3573140799999237,0.9983265399932861,0.4622775614261627,-0.01666123792529106,-0.3573656678199768,0.9980990886688232,0.4579307436943054,-0.017033828422427177,-0.3575139343738556,0.998110294342041,0.49461665749549866,-0.004102692939341068,-0.2264060527086258,0.9982630610466003,0.4538411796092987,-0.009580250829458237,-0.2164250761270523,0.9967778921127319,0.48139846324920654,0.03209258243441582,-0.3238183259963989,0.9997461438179016,0.4664066433906555,0.02948557585477829,-0.3212681710720062,0.9996057748794556,0.5460236072540283,0.1390542834997177,-0.13847555220127106,0.9998621940612793,0.41186395287513733,0.14600767195224762,-0.1131247729063034,0.9996770620346069,0.5460543036460876,0.32780441641807556,-0.08553265035152435,0.9728460311889648,0.406078964471817,0.34526538848876953,-0.03691890463232994,0.9413368701934814,0.5437135100364685,0.5031938552856445,-0.22056268155574799,0.9324853420257568,0.4118623733520508,0.5040354132652283,-0.15543074905872345,0.8844760656356812,0.544839084148407,0.5551619529724121,-0.26443204283714294,0.8923479318618774,0.4102840721607208,0.5557205080986023,-0.19036516547203064,0.834467351436615,0.5355843901634216,0.5554450750350952,-0.3042202889919281,0.8997634649276733,0.4172540009021759,0.5526439547538757,-0.24123649299144745,0.846428394317627,0.5314434766769409,0.5394554734230042,-0.23777809739112854,0.8888739347457886,0.42139068245887756,0.5351508259773254,-0.17732754349708557,0.837490975856781,0.5110020041465759,0.5080776810646057,-0.017549488693475723,0.9978931546211243,0.4464218020439148,0.5121725797653198,0.017633607611060143,0.9970980882644653,0.5018702745437622,0.8047525882720947,-0.048990391194820404,0.8323050737380981,0.4570869505405426,0.7980424165725708,-0.006390887778252363,0.8043753504753113,0.503007173538208,1.0122294425964355,0.1176912784576416,0.748049795627594,0.47283902764320374,1.006268858909607,0.15811389684677124,0.6761606931686401,0.5010449886322021,1.0833070278167725,0.12317384779453278,0.4287283718585968,0.47382673621177673,1.0634511709213257,0.1656237691640854,0.38787129521369934,0.5045298933982849,1.135301947593689,-0.04614860936999321,0.6907002925872803,0.46313655376434326,1.1268730163574219,-0.0015540581662207842,0.6634417772293091
8,0.47274109721183777,0.011105812154710293,-0.3763030171394348,0.9996158480644226,0.47929298877716064,-0.012373111210763454,-0.35988080501556396,0.9986231923103333,0.48367348313331604,-0.011829105205833912,-0.3600119352340698,0.9986908435821533,0.4878898561000824,-0.011002360843122005,-0.36009329557418823,0.9987481236457825,0.4664718508720398,-0.014350675977766514,-0.3577928841114044,0.998350977897644,0.46216288208961487,-0.015119994059205055,-0.3578464686870575,0.9981454610824585,0.4578441381454468,-0.015604098327457905,-0.3579849898815155,0.9981414079666138,0.49468621611595154,-0.0017611496150493622,-0.23270848393440247,0.9982978105545044,0.4536476135253906,-0.008177723735570908,-0.2209862768650055,0.9968648552894592,0.4813404679298401,0.03317612409591675,-0.32496926188468933,0.9997434020042419,0.4661693274974823,0.030160246416926384,-0.32194942235946655,0.9995997548103333,0.5459339618682861,0.13910642266273499,-0.14942581951618195,0.9998657703399658,0.41150015592575073,0.1463441252708435,-0.11386348307132721,0.9996870160102844,0.5461038947105408,0.32776641845703125,-0.09434837847948074,0.9733527302742004,0.40620648860931396,0.34561073780059814,-0.03834325447678566,0.940398097038269,0.5438727736473083,0.5027517080307007,-0.23209494352340698,0.9327231645584106,0.4118780493736267,0.5040302872657776,-0.15593257546424866,0.8867250084877014,0.5451529026031494,0.554263174533844,-0.2756578028202057,0.8931947350502014,0.4104418456554413,0.5556937456130981,-0.19085876643657684,0.838369607925415,0.5361931920051575,0.5543087720870972,-0.3166644275188446,0.9004194736480713,0.41722553968429565,0.5525439381599426,-0.24183350801467896,0.8498730659484863,0.5322262644767761,0.5391230583190918,-0.2500414252281189,0.8899973034858704,0.4213031828403473,0.5351521968841553,-0.17793279886245728,0.8408160209655762,0.5116342902183533,0.508314311504364,-0.020299235358834267,0.9978006482124329,0.4458974003791809,0.5123504996299744,0.020372925326228142,0.9969921112060547,0.5034730434417725,0.8029241561889648,-0.048851799219846725,0.8372995853424072,0.4545694589614868,0.7972109317779541,0.007100448478013277,0.8078553676605225,0.5032061338424683,1.0122135877609253,0.12291913479566574,0.7510455250740051,0.4717375636100769,1.0057711601257324,0.16157101094722748,0.6776507496833801,0.5011653304100037,1.0793477296829224,0.12879090011119843,0.4263536036014557,0.4738079607486725,1.0602624416351318,0.16795404255390167,0.39287975430488586,0.5041836500167847,1.132091999053955,-0.03725167736411095,0.6909970045089722,0.4563347101211548,1.122901439666748,0.018357569351792336,0.6635977625846863
9,0.4728332459926605,0.011603652499616146,-0.3819552958011627,0.9996230602264404,0.4795028567314148,-0.011622502468526363,-0.3652569353580475,0.9986473321914673,0.48399627208709717,-0.010997644625604153,-0.36539140343666077,0.9987251162528992,0.4883609414100647,-0.010123549960553646,-0.36547157168388367,0.9987735152244568,0.4665713906288147,-0.013812599703669548,-0.3635450303554535,0.998389720916748,0.46227070689201355,-0.014590985141694546,-0.36360427737236023,0.9982039928436279,0.45795562863349915,-0.015096670016646385,-0.3637396991252899,0.9981903433799744,0.49517568945884705,-0.000879368104506284,-0.23616434633731842,0.9983354210853577,0.453646719455719,-0.007471930701285601,-0.22648277878761292,0.9969707727432251,0.481454461812973,0.03382381424307823,-0.3304024934768677,0.9997419118881226,0.466221421957016,0.030559875071048737,-0.3278873860836029,0.9995988011360168,0.54591304063797,0.1394357681274414,-0.15242095291614532,0.9998667240142822,0.41128501296043396,0.1469828337430954,-0.11731962859630585,0.9996939301490784,0.5460990071296692,0.3277892768383026,-0.09775149077177048,0.9734588861465454,0.4062292277812958,0.347819983959198,-0.042954836040735245,0.9401135444641113,0.5439133048057556,0.5027472972869873,-0.23715853691101074,0.9318645596504211,0.4118760824203491,0.5052581429481506,-0.16098496317863464,0.8882822394371033,0.5452025532722473,0.554180920124054,-0.2811238169670105,0.8923220038414001,0.41042038798332214,0.5567494034767151,-0.1964573711156845,0.8410711288452148,0.5362882614135742,0.5541061162948608,-0.3222503364086151,0.8994770646095276,0.4172125458717346,0.5533102750778198,-0.24724650382995605,0.8522534966468811,0.532463014125824,0.539112389087677,-0.2552851140499115,0.8893576264381409,0.4212321639060974,0.5362743735313416,-0.18298158049583435,0.8430414795875549,0.5118408799171448,0.5100674629211426,-0.020161990076303482,0.9977053999900818,0.4457208216190338,0.5144556164741516,0.02023795247077942,0.9968968033790588,0.503498911857605,0.8024434447288513,-0.04651313275098801,0.8410980701446533,0.4536735415458679,0.797685444355011,0.007253776770085096,0.8117209076881409,0.5034927725791931,1.011462926864624,0.12778803706169128,0.7534727454185486,0.4706372320652008,1.0052438974380493,0.16500456631183624,0.6786918640136719,0.5012000203132629,1.0786035060882568,0.1340756118297577,0.4268415868282318,0.4737326204776764,1.0595420598983765,0.17364449799060822,0.39550694823265076,0.5040985941886902,1.1302931308746338,-0.03241652995347977,0.6915273666381836,0.4563831090927124,1.120560884475708,0.0199394840747118,0.6627647876739502
10,0.4728679656982422,0.011006574146449566,-0.39231178164482117,0.9996305704116821,0.47958555817604065,-0.011987686157226562,-0.3744966685771942,0.9986746907234192,0.4841160774230957,-0.011316143907606602,-0.3746371567249298,0.9987623691558838,0.488534152507782,-0.010409929789602757,-0.3747210204601288,0.9988043308258057,0.4666393995285034,-0.01407864224165678,-0.37307336926460266,0.9984274506568909,0.4623546600341797,-0.014741985127329826,-0.37313517928123474,0.9982602000236511,0.4580479562282562,-0.015145884826779366,-0.3732677102088928,0.9982361197471619,0.495278924703598,-0.0008258895832113922,-0.24132849276065826,0.9983817934989929,0.4536496102809906,-0.007089694496244192,-0.23327700793743134,0.9970677495002747,0.4814973473548889,0.03343692794442177,-0.33968350291252136,0.9997419714927673,0.46625250577926636,0.030271951109170914,-0.33764520287513733,0.9995977878570557,0.5459005832672119,0.13950911164283752,-0.1565418839454651,0.9998675584793091,0.41126641631126404,0.1475139558315277,-0.12059318274259567,0.9996952414512634,0.5460988879203796,0.32774269580841064,-0.09965529292821884,0.9736073017120361,0.4063364565372467,0.3504020571708679,-0.045500267297029495,0.9392555952072144,0.5439112782478333,0.5029429793357849,-0.23686648905277252,0.9308685660362244,0.4119034707546234,0.5077181458473206,-0.16315779089927673,0.8874529600143433,0.5451676249504089,0.5544313192367554,-0.28070852160453796,0.8908026814460754,0.4104422926902771,0.5594432353973389,-0.19860252737998962,0.8406205177307129,0.536203920841217,0.5542462468147278,-0.32186028361320496,0.8979864120483398,0.41737642884254456,0.5557278394699097,-0.2496752291917801,0.8516765832901001,0.5324524641036987,0.5393118858337402,-0.25493016839027405,0.8880422115325928,0.42125484347343445,0.5386622548103333,-0.18531470000743866,0.8421874046325684,0.5119753479957581,0.51121586561203,-0.019896510988473892,0.9976081252098083,0.4456380307674408,0.5158833265304565,0.01997549459338188,0.9967769980430603,0.5034149885177612,0.8034536242485046,-0.044733669608831406,0.8427049517631531,0.4536578059196472,0.7989951968193054,0.005373036954551935,0.8136460185050964,0.5026850700378418,1.0123564004898071,0.12824878096580505,0.7540218830108643,0.470081627368927,1.0066465139389038,0.1681063026189804,0.6764500737190247,0.500797688961029,1.0848052501678467,0.13401080667972565,0.4264827072620392,0.4731278121471405,1.0641337633132935,0.1764986515045166,0.3939475417137146,0.5034995675086975,1.1336944103240967,-0.03551945835351944,0.6903043389320374,0.4568055272102356,1.123634934425354,0.01541365310549736,0.6589739322662354
